config,origin_id,origin_date,omega,alpha,beta,alpha_plus_beta,nu,mu,convergence_flag,convergence_warning,nu_boundary,near_nonstationary,cov_50,cov_80,cov_90,cov_95,cov_99,pi95_width_h63
expanding,58,2024-12-04,0.09928532473250942,0.04135805632522446,0.9408596558890872,0.9822177122143116,5.427705208786856,-0.01143408561454064,0,False,False,False,0.031746031746031744,0.4603174603174603,0.746031746031746,0.9047619047619048,1.0,243.72698316817795
expanding,59,2025-05-12,0.1018799119323291,0.04167937698366569,0.9400550077140778,0.9817343846977434,5.429619902112111,-0.007398818973958544,0,False,False,False,0.0,0.1746031746031746,0.49206349206349204,0.8571428571428571,1.0,295.6433758654404
expanding,60,2025-10-13,0.10112600437682191,0.04177296767439064,0.9401810073367501,0.9819539750111408,5.495377481252888,-0.009063257237731775,0,False,False,False,0.5396825396825397,0.8888888888888888,0.9682539682539683,1.0,1.0,306.1147060999538
rolling,1,2000-02-29,0.3454671026196626,0.08276681553778974,0.8854645868692194,0.9682314024070091,4.148124674612847,0.0012464356301494098,0,False,False,False,0.8412698412698413,1.0,1.0,1.0,1.0,96.77994892028342
rolling,2,2000-08-07,0.7017256061953242,0.10955590534467215,0.824073448398671,0.9336293537433432,4.043155867140051,-0.04850461268875701,0,False,False,False,0.6666666666666666,0.9841269841269841,1.0,1.0,1.0,91.35224775447986
rolling,3,2001-01-16,0.8513763848512181,0.1275826333555032,0.7801176194497375,0.9077002528052407,4.381926038380739,-0.06052788354388198,0,False,False,False,0.873015873015873,0.9206349206349206,0.9523809523809523,0.9841269841269841,1.0,59.41296905605224
rolling,4,2001-06-22,0.8865694890418149,0.12080387409494708,0.783316516026577,0.9041203901215241,4.438140585362925,-0.08261658650773214,0,False,False,False,0.4126984126984127,1.0,1.0,1.0,1.0,55.10297855205572
rolling,5,2001-12-05,1.1534375550739735,0.1276400900160352,0.7498062182563355,0.8774463082723707,3.9875654483338936,-0.09137546506133147,0,False,False,False,0.1111111111111111,0.6825396825396826,0.9523809523809523,1.0,1.0,38.414415124217456
rolling,6,2002-05-20,1.1897104819499784,0.13764192065848166,0.7424719485974376,0.8801138692559193,3.8035939205711897,-0.09634676996050441,0,False,False,False,0.8095238095238095,0.9523809523809523,0.9841269841269841,0.9841269841269841,1.0,44.769816900398965
rolling,7,2002-10-25,1.1405908146658859,0.1417523228450029,0.7415563234773355,0.8833086463223383,4.07515709402892,-0.10216660173891863,0,False,False,False,0.873015873015873,1.0,1.0,1.0,1.0,66.32635413424742
rolling,8,2003-04-09,0.7972208190318981,0.11225994030233183,0.8018563713996957,0.9141163117020275,4.2003591160840195,-0.10603906277756642,0,False,False,False,0.6190476190476191,0.9523809523809523,1.0,1.0,1.0,54.88845937016709
rolling,9,2003-09-16,1.276243153523104,0.10926776527494339,0.7297068185526819,0.8389745838276254,4.01777737064551,-0.10805769048184663,0,False,False,False,0.9523809523809523,0.9841269841269841,0.9841269841269841,1.0,1.0,55.39051077923274
rolling,10,2004-02-27,1.3588191125982285,0.11147054247166938,0.6953010745198239,0.8067716169914934,4.329911746065506,-0.1043745944167296,0,False,False,False,0.9682539682539683,1.0,1.0,1.0,1.0,59.89078123495118
rolling,11,2004-08-05,1.3742960788597416,0.12179106452855602,0.6798200537296641,0.8016111182582202,4.273895490695413,-0.09737545704091516,0,False,False,False,0.2222222222222222,0.7619047619047619,0.8888888888888888,1.0,1.0,52.16226313323333
rolling,12,2005-01-13,1.3239304381117205,0.11162826002104877,0.7025405260816096,0.8141687861026583,3.97953124867241,-0.08541510981393106,0,False,False,False,0.015873015873015872,0.2857142857142857,0.7301587301587301,0.9206349206349206,1.0,79.67661736301125
rolling,13,2005-06-22,1.3206588491372684,0.11070326476124973,0.7061659703315458,0.8168692350927955,4.067567558030672,-0.06924749299564997,0,False,False,False,0.5873015873015873,0.9841269841269841,1.0,1.0,1.0,88.02726723052842
rolling,14,2005-11-29,1.0189259875112988,0.09578320961926919,0.7609075063099697,0.856690715929239,4.219984382952437,-0.07053173408514417,0,False,False,False,0.14285714285714285,0.6031746031746031,0.746031746031746,1.0,1.0,78.09878093015874
rolling,15,2006-05-09,1.7871856069995968,0.08660330440193587,0.613812251227635,0.7004155556295709,4.692213583889306,-0.0574334728190811,0,False,False,False,0.5079365079365079,1.0,1.0,1.0,1.0,80.12760153966958
rolling,16,2006-10-13,0.741536916480734,0.0501567997090326,0.8129012600075862,0.8630580597166189,4.980577144204194,-0.038595207995590804,0,False,False,False,0.09523809523809523,0.5079365079365079,1.0,1.0,1.0,74.77882733510494
rolling,17,2007-03-27,0.010392650744220504,0.014118636549383985,0.9840750881440296,0.9981937246934135,4.9734120392435095,-0.013601480126468928,0,False,False,False,0.4603174603174603,0.7777777777777778,1.0,1.0,1.0,60.19822501052994
